cty,hhinc00
1001,34379.539
1003,39219.598
1005,24274.195
1007,24927.521
1009,30229.857
1011,18084.561
1013,30493.453
1015,31739.221
1017,28871.576
1019,28795.928
1021,28448.609
1023,27724.395
1025,28073.506
1027,26455.26
1029,27411.094
1031,33960.359
1033,33145.203
1035,25457.959
1037,27354.184
1039,29839.672
1041,28369.6
1043,31528.854
1045,28494.76
1047,26798.918
1049,29350.537
1051,31156.057
1053,26024.191
1055,31576.697
1057,27426.598
1059,27611.736
1061,27748.285
1063,27643.834
1065,25042.623
1067,29945.088
1069,35262.852
1071,29498.898
1073,38584.137
1075,27185.629
1077,34223.008
1079,30491.068
1081,28575.398
1083,31877.979
1085,25080.873
1087,24916.775
1089,41283.332
1091,30357.42
1093,28465.76
1095,32007.781
1097,32258.135
1099,29595.238
1101,34834.207
1103,35159.695
1105,22062.256
1107,27061.1
1109,26834.854
1111,27389.764
1113,26292.465
1115,32119.357
1117,47774.16
1119,22241.885
1121,29031.361
1123,32640.594
1125,32620.277
1127,28756.691
1129,27214.59
1131,21333.018
1133,29060.262
2013,16695.863
2016,23637.148
2020,43439.391
2050,25192.385
2060,39909.406
2070,31700.424
2090,36980.746
2100,39490.578
2110,45297.344
2122,37242.844
2130,42022.125
2150,38933.156
2164,30215.986
2170,37692.781
2180,29588.639
2185,39123.141
2188,27612.824
2201,32033.189
2220,41167.246
2231,33977.762
2240,29948.416
2261,39971.68
2270,19556.951
2280,43557.324
2290,25953.68
4001,18468.693
4003,29920.49
4005,29986.326
4007,33454.613
4009,21866.971
4011,30213.033
4012,31616.744
4013,41328.645
4015,33909.586
4017,23339.273
4019,36698.137
4021,29963.633
4023,27007.637
4025,39299.906
4027,30315.057
5001,31831.959
5003,30092.701
5005,35632.883
5007,37364.531
5009,30951.275
5011,26020.908
5013,29563.602
5015,30761.631
5017,25239.551
5019,25843.984
5021,28955.17
5023,34169.121
5025,29122.568
5027,29376.813
5029,30986.84
5031,30387.973
5033,28120.955
5035,27743.926
5037,30160.551
5039,28801.146
5041,26621.475
5043,30235.875
5045,31470.23
5047,28036.572
5049,31187.461
5051,37213.195
5053,32312.014
5055,30772.043
5057,27406.498
5059,29273.795
5061,30259.398
5063,30174.303
5065,27500.047
5067,26282.086
5069,28181.014
5071,28264.48
5073,27850.586
5075,26749.807
5077,20034.219
5079,19187.566
5081,30190.645
5083,28131.596
5085,32152.266
5087,27665.689
5089,28984.748
5091,31066.48
5093,27086.453
5095,27439.068
5097,29124.365
5099,27086.945
5101,25709.42
5103,30013.191
5105,30754.205
5107,25327.711
5109,29871.465
5111,24828.018
5113,27898.766
5115,29302.461
5117,30636.727
5119,38549.699
5121,27997.883
5123,23152.955
5125,35334.934
5127,26441.344
5129,24785.381
5131,34128.266
5133,27142.906
5135,29638.193
5137,27581.871
5139,31285.293
5141,34072.988
5143,30310.846
5145,29205.207
5147,26141.85
5149,29108.018
6001,46859.598
6003,41543.504
6005,36951.52
6007,32930.879
6009,41266.102
6011,28495.387
6013,56180.246
6015,23836.625
6017,47239.402
6019,29642.639
6021,27699.229
6023,30378.873
6025,23365.527
6027,38828.59
6029,28781.379
6031,23396.008
6033,33166.813
6035,21189.17
6037,37667.68
6039,26952.248
6041,77942.648
6043,32640.98
6045,35844.059
6047,28234.398
6049,33684.395
6051,38203.516
6053,35919.711
6055,49310.059
6057,45822.441
6059,46603.75
6061,52340.113
6063,37051.895
6065,36736.992
6067,38938.148
6069,39424.434
6071,31604.172
6073,40913.484
6075,56014.965
6077,33102.285
6079,37607.988
6081,63831.777
6083,41596.125
6085,57068.918
6087,45074.578
6089,34162.313
6091,36042.094
6093,34213.73
6095,39182.285
6097,46265.77
6099,32593.629
6101,33245.52
6103,31277.445
6105,31241.389
6107,27568.313
6109,36429.5
6111,45268.957
6113,33514.996
6115,26667.383
8001,35684
8003,26646.979
8005,49699.043
8007,39341.234
8009,31259.881
8011,23278.188
8013,47956.535
8015,33185.09
8017,35453.105
8019,46079.949
8021,25271.342
8023,21006.961
8025,16024.098
8027,36738.848
8029,33721.477
8031,41383.379
8033,32178.379
8035,62289.23
8037,50576.371
8039,44057.605
8041,38869.242
8043,24578.068
8045,37727.496
8047,41319.16
8049,40410.566
8051,32474.756
8053,39201.309
8055,26164.502
8057,31589.98
8059,49089.262
8061,31436.939
8063,32042.684
8065,31539.488
8067,35849.973
8069,40443.223
8071,33266.039
8073,25562.008
8075,28896.621
8077,35019.207
8079,44934.051
8081,33103.313
8083,32477.295
8085,33053.488
8087,30268.703
8089,29363.32
8091,43084.563
8093,41110.281
8095,34216.117
8097,61942.297
8099,27609.412
8101,32680.758
8103,30883.57
8105,30910.924
8107,45590.828
8109,24113.211
8111,26862.508
8113,51627.504
8115,32814.43
8117,41656.844
8119,40085.336
8121,36305.434
8123,34227.902
8125,32376.518
9001,71794.664
9003,48615.953
9005,52961.852
9007,51241.609
9009,45598.855
9011,44401.383
9013,43430.691
9015,37086.051
10001,34522.707
10003,45549.883
10005,39048.18
11001,48273.488
12001,29809.719
12003,26134.439
12005,33971.727
12007,24707.785
12009,42105.285
12011,43853.043
12013,22167.1
12015,50384.289
12017,41833.977
12019,37969.828
12021,64055.816
12023,26955.727
12025,33858.605
12027,26607.883
12029,24957.092
12031,37234.598
12033,31893.74
12035,47156.809
12037,23809.287
12039,25763.381
12041,25234.236
12043,28540.016
12045,26327.736
12047,17936.52
12049,23655.861
12051,24685.566
12053,41394.531
12055,41206.668
12057,39574.906
12059,25589.797
12061,60261.957
12063,24813.371
12065,30651.869
12067,21306.725
12069,43323.383
12071,51141.941
12073,34051.441
12075,28365.33
12077,23433.957
12079,23700.803
12081,46719.09
12083,37406.633
12085,63462.047
12087,44102.875
12089,41652.699
12091,37075.152
12093,27803.895
12095,36818.371
12097,31187.443
12099,59272.852
12101,39765.574
12103,46209.227
12105,36054.211
12107,31132.668
12109,53471.844
12111,39046.719
12113,36385.621
12115,62212.363
12117,43796.316
12119,33024.313
12121,28038.779
12123,26252.742
12125,16810.627
12127,38714.926
12129,30107.271
12131,33288.645
12133,27884.975
13001,28163.639
13003,23363.539
13005,26066.98
13007,34976.148
13009,26337.123
13011,31016.156
13013,33736.719
13015,34555.895
13017,26884.115
13019,30590.41
13021,35717.754
13023,30144.322
13025,25134.795
13027,27235.41
13029,36608.359
13031,26771.756
13033,25425.248
13035,27055.754
13037,18806.273
13039,28363.012
13043,24988.16
13045,31329.924
13047,32934.98
13049,21686.523
13051,38748.957
13053,14591.5
13055,26007.656
13057,43897.766
13059,26219.918
13061,32765.57
13063,31964.578
13065,23091.908
13067,47446.656
13069,27921.699
13071,26707.295
13073,42648.977
13075,25895.119
13077,40096.941
13079,28506.443
13081,28437.805
13083,28709.66
13085,39719.043
13087,28913.08
13089,40653.27
13091,26782.115
13093,24156.229
13095,30581.141
13097,37355.828
13099,30163.043
13101,29171.082
13103,34442.313
13105,27854.904
13107,25407.596
13109,22976.102
13111,30985.574
13113,53865.375
13115,32724.613
13117,51956.5
13119,29578.721
13121,51072.809
13123,31437.721
13125,27425.359
13127,40995.914
13129,31696.096
13131,27112.443
13133,44066.219
13135,42831.348
13137,31706.465
13139,35069.637
13141,17927.701
13143,29466.773
13145,39802.656
13147,31613.084
13149,29127.578
13151,41329.984
13153,34890.66
13155,29090.988
13157,32407.27
13159,36109.246
13161,25860.732
13163,26000.656
13165,26531.078
13167,24327.729
13169,34877.074
13171,30424.814
13173,24205.516
13175,31288.141
13177,35387.984
13179,22629.875
13181,28882.736
13183,22993.043
13185,27397.281
13187,30412.91
13189,34168.496
13191,26941.857
13193,21724.338
13195,31050.479
13197,25930.689
13199,30172.109
13201,30802.072
13205,23423.74
13207,35063.066
13209,25005.928
13211,35193.648
13213,28931.99
13215,33184.25
13217,35354.387
13219,44892.055
13221,31452.438
13223,36223.395
13225,28183.529
13227,36021.457
13229,26760.715
13231,33356.539
13233,28970.191
13235,28670.08
13237,37201.621
13239,29545.305
13241,37732.906
13243,23219.01
13245,30235.002
13247,39874.52
13249,28498.68
13251,27384.438
13253,28213.34
13255,31154.645
13257,28803.779
13259,33444.844
13261,28431.883
13263,26739.818
13265,30081.746
13267,21074.697
13269,24384.246
13271,23851.713
13273,26851.117
13275,30982.047
13277,31119.529
13279,27207.533
13281,35967.457
13283,24311.264
13285,32975.875
13287,26716.326
13289,26776.516
13291,36629.207
13293,32311.6
13295,29232.295
13297,35885.152
13299,26753.703
13301,28065.025
13303,27967.648
13305,27430.939
13307,28083.422
13309,22294.811
13311,31230.131
13313,33918.734
13315,23175.893
13317,28769.568
13319,27949.115
13321,30258.135
15001,35009.516
15003,39403.992
15007,38209.547
15009,39561.988
16001,40061.988
16003,28445.105
16005,31215.896
16007,29018.059
16009,29379.516
16011,29051.5
16013,52969.227
16015,33987.004
16017,31136.527
16019,35201.785
16021,28982.873
16023,29344.836
16025,35866.266
16027,29085.506
16029,30717.447
16031,28896.207
16033,21415.168
16035,27695.596
16037,29909.357
16039,23134.502
16041,29827.621
16043,27508.465
16045,30645.426
16047,29246.781
16049,26799.607
16051,28268.564
16053,30837.785
16055,33962.563
16057,26109.432
16059,31273.211
16061,31719.232
16063,29041.102
16065,18100.758
16067,27800.764
16069,35334.234
16071,29791.941
16073,26783.443
16075,29699.645
16077,28721.299
16079,29632.576
16081,33051.637
16083,32260.27
16085,35213.555
16087,31222.631
17001,34574.117
17003,30134.82
17005,29228.332
17007,41394.414
17009,20173.107
17011,38285.832
17013,33122.191
17015,37447.391
17017,30958.77
17019,32419.898
17021,34018.602
17023,34880.844
17025,30838.764
17027,34353.59
17029,28996.846
17031,42449.973
17033,29768.967
17035,32753.885
17037,32699.871
17039,38772.91
17041,36061.848
17043,56273.867
17045,33949
17047,31593.654
17049,36133.949
17051,27226.154
17053,37779.57
17055,30084.541
17057,32155.109
17059,29619.473
17061,30012.373
17063,41801.371
17065,32327.176
17067,34588.344
17069,27999.576
17071,32932.758
17073,36483.227
17075,36657.395
17077,25176.484
17079,32471.215
17081,30672.438
17083,36483.695
17085,41319.039
17087,24541.461
17089,44908.754
17091,35617.48
17093,45992.242
17095,32940.672
17097,58363.574
17099,36775.809
17101,32930.109
17103,33827.492
17105,33472.961
17107,30281.668
17109,25994.918
17111,48750.82
17113,37902.75
17115,37942.012
17117,33655.781
17119,38288.055
17121,33731.105
17123,37024.828
17125,33622.172
17127,30632.037
17129,40587.648
17131,35531.645
17133,43075.246
17135,29516.305
17137,32392.217
17139,35836.941
17141,39131.441
17143,39371.305
17145,27041.16
17147,40375.652
17149,30973.066
17151,29667.855
17153,26036.311
17155,38223.305
17157,30116.871
17159,32936.918
17161,37137.73
17163,35936.641
17165,30009.848
17167,42926.262
17169,33645.215
17171,32911.016
17173,34166.828
17175,33599.137
