cty,unemp_rate
1001,.037379384
1003,.039112385
1005,.068131678
1007,.061639342
1009,.032847144
1011,.090816587
1013,.068600416
1015,.050140291
1017,.049431171
1019,.041400995
1021,.043664124
1023,.064941652
1025,.089300223
1027,.055295952
1029,.047680411
1031,.056401812
1033,.062548444
1035,.066629022
1037,.061774615
1039,.057652671
1041,.054692663
1043,.042034995
1045,.050581165
1047,.084006369
1049,.043788217
1051,.038633361
1053,.055973958
1055,.060030557
1057,.057483863
1059,.069554083
1061,.058392357
1063,.065075308
1065,.066044405
1067,.049020898
1069,.039097246
1071,.059590247
1073,.039404839
1075,.073600218
1077,.059703913
1079,.054201681
1081,.037391599
1083,.039662924
1085,.065781653
1087,.052889433
1089,.035073332
1091,.054403566
1093,.079162173
1095,.050385091
1097,.05129879
1099,.066017859
1101,.041275054
1103,.046663612
1105,.10059172
1107,.076769106
1109,.048439104
1111,.057231322
1113,.050346419
1115,.038136918
1117,.02654014
1119,.077042498
1121,.059755221
1123,.054067969
1125,.038148895
1127,.054623984
1129,.081662655
1131,.09241952
1133,.08561898
2013,.08019802
2016,.057262041
2020,.048200235
2050,.095849179
2060,.052798312
2070,.078451879
2090,.058081172
2100,.096153848
2110,.045542903
2122,.079472102
2130,.064904734
2150,.085727595
2164,.061139897
2170,.068934344
2180,.094605587
2185,.072506741
2188,.095994703
2201,
2220,.046023235
2231,
2240,.12582469
2261,.084137931
2270,.15062046
2280,
2290,.10628196
4001,.093884178
4003,.04834814
4005,.046713624
4007,.057712179
4009,.062389344
4011,.071484886
4012,.066447556
4013,.041462518
4015,.047798932
4017,.075713836
4019,.043299761
4021,.053581651
4023,.086895443
4025,.044232205
4027,.16523334
5001,.044433594
5003,.071539961
5005,.052259799
5007,.028396549
5009,.049768664
5011,.068801217
5013,.054226477
5015,.039208073
5017,.084249765
5019,.044371039
5021,.06708812
5023,.04530593
5025,.054372918
5027,.049700707
5029,.046955403
5031,.044375792
5033,.039536193
5035,.049829859
5037,.055967949
5039,.066065267
5041,.082755283
5043,.082154319
5045,.043084539
5047,.036234591
5049,.048521917
5051,.045878116
5053,.049353845
5055,.067042641
5057,.044607617
5059,.049783397
5061,.050625
5063,.052572444
5065,.055676639
5067,.071961269
5069,.065574698
5071,.045436509
5073,.049079753
5075,.063144326
5077,.087793306
5079,.068648972
5081,.039299242
5083,.048334017
5085,.036620781
5087,.032639682
5089,.053051211
5091,.043432321
5093,.10640618
5095,.060195636
5097,.044493608
5099,.045656029
5101,.051671732
5103,.070388153
5105,.051351916
5107,.073935769
5109,.044373713
5111,.069316573
5113,.04524076
5115,.042053256
5117,.043887869
5119,.040856671
5121,.068173446
5123,.074299067
5125,.035126004
5127,.039388224
5129,.04871238
5131,.038044252
5133,.040510848
5135,.059187144
5137,.053739365
5139,.048965622
5141,.059425015
5143,.029164257
5145,.05099931
5147,.061946902
5149,.036043417
6001,.047827024
6003,.073170729
6005,.050594501
6007,.06582927
6009,.054610375
6011,.1279299
6013,.040508717
6015,.080031306
6017,.042967264
6019,.10662511
6021,.087552272
6023,.059891138
6025,.15927325
6027,.04536904
6029,.085595772
6031,.10682221
6033,.070304938
6035,.073233403
6037,.056699585
6039,.095559344
6041,.035135426
6043,.057284299
6045,.059326589
6047,.10147563
6049,.069327191
6051,.046755977
6053,.077957399
6055,.036268402
6057,.043857969
6059,.039549071
6061,.040127672
6063,.075818434
6065,.054971356
6067,.045255829
6069,.063471831
6071,.050690427
6073,.041843593
6075,.050893996
6077,.074693568
6079,.040245373
6081,.038165376
6083,.044065427
6085,.05072267
6087,.057181437
6089,.063402317
6091,.075449102
6093,.080579713
6095,.046039619
6097,.036757264
6099,.083498217
6101,.097459503
6103,.06539432
6105,.092880979
6107,.11425834
6109,.058553483
6111,.048494335
6113,.051171161
6115,.085150026
8001,.040492516
8003,.042317122
8005,.036857229
8007,.039669111
8009,.029832449
8011,.043409001
8013,.037065957
8015,.040031917
8017,.023382697
8019,.03363606
8021,.062465295
8023,.083015993
8025,.058018252
8027,.041271612
8029,.041295063
8031,.044492736
8033,.051172707
8035,.032434575
8037,.030984623
8039,.032322727
8041,.042291246
8043,.050503392
8045,.031964719
8047,.034876544
8049,.02970051
8051,.032830097
8053,.035330262
8055,.06369029
8057,.03468208
8059,.034647603
8061,.027748132
8063,.024582561
8065,.040020011
8067,.032180883
8069,.03221871
8071,.045664012
8073,.029948365
8075,.031561308
8077,.038483191
8079,.037383176
8081,.038993023
8083,.043935694
8085,.043845154
8087,.031953197
8089,.046465535
8091,.029512404
8093,.034834422
8095,.028151261
8097,.036126886
